,Accuracy,F1,DP Gap,EO Gap,Selection Rate,Dataset,Missing Pattern,Imputation Method,Model,Seed,Model Score
0,0.8455500276395799,0.6559960600837232,0.18305233982150487,0.1435204529693861,0.20110558319513544,Adult,Baseline,None,logistic,42,0.38141755035146596
1,0.863681592039801,0.7031061882976162,0.17833725776747666,0.08673507536539138,0.21127694859038143,Adult,Baseline,None,xgboost,42,0.4356003016464012
2,0.8485351022664456,0.6755092373282804,0.1794806367796648,0.07192736303965674,0.21890547263681592,Adult,Baseline,None,mlp,42,0.4062882821587832
3,0.8627971254836927,0.7023266970496522,0.18044273747375766,0.08886386727598206,0.2130458817025981,Adult,MCAR_15,Original (No Imputation),xgboost,42,0.4316625908390157
4,0.8434494195688226,0.6498516320474778,0.18078364810281977,0.1372279082860146,0.1992260917634052,Adult,MCAR_15,Median,logistic,42,0.3786761598932481
5,0.8640132669983416,0.7044690052859203,0.17575886594163545,0.08992826323127745,0.21227197346600332,Adult,MCAR_15,Median,xgboost,42,0.4408307063734671
6,0.8479823106688779,0.6701846965699209,0.17892499999720335,0.09593784865931554,0.2130458817025981,Adult,MCAR_15,Median,mlp,42,0.40179719657411583
7,0.8414593698175787,0.6509250243427459,0.1876878294513895,0.14618144285762458,0.20630182421227197,Adult,MCAR_15,KNN,logistic,42,0.36939328016566164
8,0.8630182421227197,0.7007969089591886,0.17941418857173602,0.10495442596656979,0.2099502487562189,Adult,MCAR_15,KNN,xgboost,42,0.4316756261015845
9,0.8463239358761747,0.6650602409638554,0.1859422216052209,0.136195766753607,0.2109452736318408,Adult,MCAR_15,KNN,mlp,42,0.38614690855602407
10,0.8431177446102819,0.653818004391315,0.18773665881630686,0.14777803679056767,0.20530679933665008,Adult,MCAR_15,MICE,logistic,42,0.3722130161668547
11,0.8631288004422333,0.7031175059952038,0.18819463686893362,0.1359465280312926,0.21315644002211168,Adult,MCAR_15,MICE,xgboost,42,0.4208255506918034
12,0.8485351022664456,0.6694015444015444,0.17535061217928533,0.09061586888283868,0.21028192371475954,Adult,MCAR_15,MICE,mlp,42,0.40637562613261646
13,0.8630182421227197,0.7029489331095661,0.17823959903764203,0.0866412443169906,0.2132669983416252,Adult,MCAR_35,Original (No Imputation),xgboost,42,0.435589534553103
14,0.8402432283029297,0.6450503561778432,0.1856962849299156,0.14655676705122733,0.20221116639027087,Adult,MCAR_35,Median,logistic,42,0.36650592878296984
15,0.8634604754007739,0.7050394076904705,0.1823687287126622,0.10839831866490146,0.2150359314538419,Adult,MCAR_35,Median,xgboost,42,0.4314863146214772
16,0.8470978441127694,0.6658613191592172,0.1725109021485256,0.06610397359828879,0.20972913211719182,Adult,MCAR_35,Median,mlp,42,0.4070949659364288
17,0.8388059701492537,0.6450827653359299,0.19224104188105257,0.15294314278299959,0.20630182421227197,Adult,MCAR_35,KNN,logistic,42,0.356721202514351
18,0.8609176340519624,0.6980316850696111,0.17995310143654536,0.09997698207093919,0.2127142067440575,Adult,MCAR_35,KNN,xgboost,42,0.4281020329147931
19,0.8424543946932007,0.6594982078853047,0.18507777964096267,0.11976067218217301,0.21481481481481482,Adult,MCAR_35,KNN,mlp,42,0.38188153842386063
20,0.840685461580984,0.6484508416686997,0.18773665881630686,0.15178491577930348,0.20530679933665008,Adult,MCAR_35,MICE,logistic,42,0.3668458534442394
21,0.8616915422885573,0.6978990581985027,0.1809319260482904,0.11162229484354402,0.2099502487562189,Adult,MCAR_35,MICE,xgboost,42,0.42650116912606717
22,0.8473189607517966,0.6620993393687301,0.17616577731594657,0.10867834569997237,0.20398009950248755,Adult,MCAR_35,MICE,mlp,42,0.3978506733948103
23,0.8611387506909896,0.6988009592326139,0.18313551194708577,0.11800867057531628,0.21315644002211168,Adult,MAR,Original (No Imputation),xgboost,42,0.4240976913119852
24,0.8400221116639027,0.6450821682609762,0.18414599454341635,0.14433414409223594,0.20287451630735212,Adult,MAR,Median,logistic,42,0.36886317644585165
25,0.8613598673300166,0.6979768786127167,0.17867995824725735,0.0973159921827007,0.2111663902708679,Adult,MAR,Median,xgboost,42,0.4299569412418307
26,0.845992260917634,0.6535687639890575,0.17804159680189474,0.1306538704574411,0.1966832504145937,Adult,MAR,Median,mlp,42,0.38650636878621536
27,0.8385848535102266,0.6444227959084267,0.1893850553953204,0.14530470899913056,0.2060807075732449,Adult,MAR,KNN,logistic,42,0.36034521281544607
28,0.857379767827529,0.6913875598086124,0.18274398210238774,0.11819633267211771,0.2142620232172471,Adult,MAR,KNN,xgboost,42,0.41727158665503084
29,0.8416804864566059,0.6541062801932367,0.1782391515749624,0.0960624680204728,0.20983969043670536,Adult,MAR,KNN,mlp,42,0.3867475528307931
30,0.8393587617468214,0.6467298808655483,0.18799797702122528,0.14903009484266433,0.2068546158098397,Adult,MAR,MICE,logistic,42,0.36473291533371033
31,0.8611387506909896,0.6966183574879227,0.17672141409840803,0.10016464416774062,0.20983969043670536,Adult,MAR,MICE,xgboost,42,0.43153623634031063
32,0.8463239358761747,0.6692051404093289,0.19240559628149564,0.13688483851529964,0.21669430624654507,Adult,MAR,MICE,mlp,42,0.3805967459870854
33,0.862244333886125,0.7009121459433509,0.18197675140528452,0.11960526450825937,0.2127142067440575,Adult,Group,Original (No Imputation),xgboost,42,0.4279470188354242
34,0.8430071862907684,0.6499013806706114,0.18274219225166916,0.14921775693946582,0.20055279159756773,Adult,Group,Median,logistic,42,0.3757880922931077
35,0.862465450525152,0.7006737247353224,0.17832098131250423,0.11747647259766858,0.21160862354892207,Adult,Group,Median,xgboost,42,0.43319225276656603
36,0.8477611940298507,0.675771132564163,0.20582108674589816,0.16875367443851647,0.2216694306246545,Adult,Group,Median,mlp,42,0.36703950244531575
37,0.8441127694859039,0.6564327485380117,0.18956454386269697,0.14821640371981465,0.2058595909342178,Adult,Group,KNN,logistic,42,0.37208593274396623
38,0.8632393587617468,0.7038544409863539,0.18326617104954498,0.11177916862758897,0.21393034825870647,Adult,Group,KNN,xgboost,42,0.4289551844120364
39,0.8474295190713101,0.666988416988417,0.18040973710113317,0.1208250681374684,0.21028192371475954,Adult,Group,KNN,mlp,42,0.3963738113367173
40,0.8422332780541736,0.6513559736134864,0.18574556175751258,0.1604877455184679,0.20464344941956883,Adult,Group,MICE,logistic,42,0.3727376309772175
41,0.862465450525152,0.6999517607332368,0.17871251115720227,0.11810250162371694,0.2105030403537866,Adult,Group,MICE,xgboost,42,0.43188299399743346
42,0.8491984521835269,0.6764705882352942,0.20025560186918584,0.17382494938254772,0.21824212271973467,Adult,Group,MICE,mlp,42,0.3760871854315154
43,0.6496212121212122,0.5986984815618221,0.25775978407557354,0.2718474545781615,0.4024621212121212,COMPAS,Baseline,None,logistic,42,0.21205880544846184
44,0.6486742424242424,0.5971769815418024,0.1933505091399828,0.18832523835222165,0.4015151515151515,COMPAS,Baseline,None,xgboost,42,0.3071512178318282
45,0.6524621212121212,0.6058002148227712,0.23285486443381187,0.2365533369311027,0.4109848484848485,COMPAS,Baseline,None,mlp,42,0.25651791817205344
46,0.6382575757575758,0.5944798301486199,0.24647282542019378,0.23043712898003244,0.42140151515151514,COMPAS,MCAR_15,Original (No Imputation),xgboost,42,0.22477059201832927
47,0.6287878787878788,0.5757575757575758,0.268801374064532,0.2591473286562332,0.4043560606060606,COMPAS,MCAR_15,Median,logistic,42,0.17255551466077784
48,0.6392045454545454,0.5959703075291622,0.2637713164028953,0.2513761467889908,0.42234848484848486,COMPAS,MCAR_15,Median,xgboost,42,0.2003133329248193
49,0.6363636363636364,0.5932203389830508,0.26144031407189294,0.2483180428134556,0.42329545454545453,COMPAS,MCAR_15,Median,mlp,42,0.2010598678752114
50,0.6401515151515151,0.594017094017094,0.2879401300453932,0.30478503327936685,0.41571969696969696,COMPAS,MCAR_15,KNN,logistic,42,0.1621068989490042
51,0.6439393939393939,0.6025369978858351,0.2371488160961845,0.26360856269113153,0.4251893939393939,COMPAS,MCAR_15,KNN,xgboost,42,0.24681377374155844
52,0.6363636363636364,0.5949367088607594,0.28744939271255066,0.2901960784313725,0.4270833333333333,COMPAS,MCAR_15,KNN,mlp,42,0.16376261979193346
53,0.6354166666666666,0.5864661654135338,0.2642620537357379,0.2716135995682677,0.4109848484848485,COMPAS,MCAR_15,MICE,logistic,42,0.1900730848099269
54,0.634469696969697,0.5884861407249466,0.2518709360814624,0.26290699766145,0.41761363636363635,COMPAS,MCAR_15,MICE,xgboost,42,0.21067973660275308
55,0.6458333333333334,0.5952380952380952,0.24132008342534655,0.24196797985249147,0.4043560606060606,COMPAS,MCAR_15,MICE,mlp,42,0.23325797010007543
56,0.6183712121212122,0.5726405090137858,0.2912526070420808,0.342903399892067,0.42234848484848486,COMPAS,MCAR_35,Original (No Imputation),xgboost,42,0.13576159845066466
57,0.6401515151515151,0.5814977973568282,0.3021715126978285,0.3424356898722791,0.38920454545454547,COMPAS,MCAR_35,Median,logistic,42,0.12824052831008542
